Data Source,World Development Indicators,,,,,,,,,,
,,,,,,,,,,,
Last Updated Date,3/28/24,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
Comoros,COM,Individuals using the Internet (% of population),6.5,6.98,7.459161386,7.938322771,8.478170295,,16.38375122,21.16321517,27.33694319
Cabo Verde,CPV,Individuals using the Internet (% of population),37.5,40.26,42.68301416,50.32281787,57.16214635,59.5,61.94339776,63.16119125,69.76225648
Costa Rica,CRI,Individuals using the Internet (% of population),45.96,53,59.76295014,65.88044919,71.58166462,73.47972844,81.20259644,80.53018608,82.74901607
Caribbean small states,CSS,Individuals using the Internet (% of population),45.1576118,48.46900902,50.67672348,53.04237502,58.46403561,,73.59966331,77.96115417,80.27357341
Cuba,CUB,Individuals using the Internet (% of population),27.93,29.07018437,37.30509742,42.97867519,57.14840432,62.67892362,67.97080866,71.11907507,71.11907507
Curacao,CUW,Individuals using the Internet (% of population),,,,61.85551074,68.12721625,,,,
Cayman Islands,CYM,Individuals using the Internet (% of population),71.4,74.1,77,79,81.06769325,,,,
Cyprus,CYP,Individuals using the Internet (% of population),65.4548,69.33,71.71574092,75.9002054,80.74318897,84.43358252,86.06362996,90.80194644,90.75951564
Czechia,CZE,Individuals using the Internet (% of population),74.1104,74.23171164,75.6688387,76.4811987,78.71917285,80.68816754,80.86694441,81.33889705,82.67062427
Germany,DEU,Individuals using the Internet (% of population),84.17,86.19,87.58979935,84.16520664,84.3941537,87.03711209,88.13451691,89.81294133,91.43060973
Djibouti,DJI,Individuals using the Internet (% of population),12.7,17,22.9,30.8,55.68140925,58,59.34196605,61.26152265,68.86318451
Dominica,DMA,Individuals using the Internet (% of population),51,57.5,65,67.03,69.61966879,,73.38194848,77.0650479,80.93300506
Denmark,DNK,Individuals using the Internet (% of population),94.6297,95.99,96.33050162,96.96778525,97.09936216,97.31920437,98.04643475,96.54914573,98.8658506
Dominican Republic,DOM,Individuals using the Internet (% of population),45.9,49.58,54.21576634,63.87086474,67.57124533,74.82204836,79.71545398,82.19830578,85.24298638
Algeria,DZA,Individuals using the Internet (% of population),22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,58.97757455,63.94999611,70.77
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),38.25788238,41.17134737,44.11887701,47.65282462,50.0569098,55.75395573,60.22344879,66.17129598,70.28867142
Early-demographic dividend,EAR,Individuals using the Internet (% of population),18.96208318,21.43475354,24.41988933,27.1275172,29.89714059,32.75021761,39.59188762,48.17694022,51.94956714
East Asia & Pacific,EAS,Individuals using the Internet (% of population),43.26196993,46.05870417,48.86241685,52.23550097,54.37669736,59.43157767,63.66743365,68.9010658,72.24826052
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),52.67838572,56.71451614,58.6032633,62.40487872,66.29812814,72.75117013,76.86990986,79.89465598,83.60883423
Europe & Central Asia,ECS,Individuals using the Internet (% of population),66.18191146,68.83335636,69.88093108,72.3127038,74.49955714,78.91555826,81.29189499,83.71541268,86.51401591
Ecuador,ECU,Individuals using the Internet (% of population),40.27912194,45.59039067,48.94043379,54.06292473,55.8,57.5,59.2,70.7,76.20289766
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),29.4,33.89460391,37.81938343,41.24806709,44.95020425,46.92433677,57.2828664,71.91420096,72.06
Euro area,EMU,Individuals using the Internet (% of population),75.72447394,76.9811938,77.40036824,77.92867406,79.51781576,82.90899083,83.34914717,85.21166133,87.22063129
Eritrea,ERI,Individuals using the Internet (% of population),0.9,0.99,1.083733116,1.17711872,1.30890698,,8.832308384,14.17998705,21.73038628
Spain,ESP,Individuals using the Internet (% of population),71.635,76.19,78.68963187,80.56133294,84.6022457,86.10723553,90.71866533,93.20564892,93.89752157
Estonia,EST,Individuals using the Internet (% of population),80.0043,84.24152803,88.4097035,87.24023275,88.10245687,89.35700777,90.2289282,89.05828666,90.97970174
Ethiopia,ETH,Individuals using the Internet (% of population),4.6,7.7,13.85517556,15.36692386,15.6,15.9,16.15232553,16.42294727,16.6981031
European Union,EUU,Individuals using the Internet (% of population),73.58759652,75.17094681,75.65872019,76.90997416,78.70269005,81.74182058,82.75181603,84.76983609,86.9709406
Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),13.6307409,15.82787521,18.39226272,20.72783107,23.94149474,26.9774038,30.05076429,34.42563317,38.43999982
Finland,FIN,Individuals using the Internet (% of population),91.5144,86.53039275,86.42213333,87.70364996,87.46892907,88.88996,89.60738511,92.17027106,92.80806082
Fiji,FJI,Individuals using the Internet (% of population),35.2,37.4,42.5,49.42,65.78,68.9,77.18669679,84.8767809,87.65996651
France,FRA,Individuals using the Internet (% of population),81.9198,83.75,78.00603771,79.26981132,80.50245972,82.04318678,83.33974409,84.70640914,86.09548575
Faroe Islands,FRO,Individuals using the Internet (% of population),90,93.3,94.2,95.10868167,97.58195894,,,,
"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),27.8,29.65,31.50108128,33.35216255,35.30405287,,39.85125701,40.12946709,40.40961941
Gabon,GAB,Individuals using the Internet (% of population),30.53803344,38.07120929,45.78453653,48.05227375,50.32012015,59.6,68.68550299,70.78874796,71.74940641
United Kingdom,GBR,Individuals using the Internet (% of population),89.8441,91.61,92.00029987,94.77580063,90.42455049,90.69200899,92.51662855,94.81820132,96.68023657
Georgia,GEO,Individuals using the Internet (% of population),43.3,44,47.56975964,58.45928961,59.7055046,62.7179082,68.84671356,72.53157487,76.44271451
Ghana,GHA,Individuals using the Internet (% of population),15,19,23,28,37.88415262,43,45.00963073,56.68215981,68.2
Gibraltar,GIB,Individuals using the Internet (% of population),,,,94.44447158,,,,,
Guinea,GIN,Individuals using the Internet (% of population),4.5,6.4,9.2,13.1,18.7,21.83002304,23.36626025,28.8232306,34.68012393
"Gambia, The",GMB,Individuals using the Internet (% of population),14,15.56,17.6,19.9,22.5,25.5,28.80487199,31.60419095,32.96228971
Guinea-Bissau,GNB,Individuals using the Internet (% of population),3.1,3.32,6.1,13.8,14.8,15.7,22.92009029,27.90528061,35.15498736
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),16.4,18.86,21.3199999,23.7799999,26.239999,,49.13366302,53.83614077,53.92240217
Greece,GRC,Individuals using the Internet (% of population),59.8663,63.21,66.83495949,69.08791547,69.89297065,72.23837339,75.67120669,78.11584474,78.49426371
Grenada,GRD,Individuals using the Internet (% of population),35,51.6,52.5,53.3,54.2,61.4,69.61219021,74.72185387,77.76723663
